"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"19","PL_019",0.768529411764706,0.3473604826546,0.53921568627451,0.537405731523379,0.531975867269985,0.565761689291101
"20","PL_020",0.734340659340659,0.267399267399267,0.546703296703297,0.543406593406593,0.523199023199023,0.60054945054945
"21","PL_021",0.751667829954388,0.176122510722358,0.514851132743678,0.509200761687815,0.497524555513349,0.620733033583846
"22","PL_022",0.676719576719577,0.251111111111111,0.498888888888889,0.502222222222222,0.430555555555556,0.744444444444444
"23","PL_023",0.693840579710145,0.228505291005291,0.496074879227053,0.704408212560386,0.448973429951691,0.807065217391304
"24","PL_024",0.674242424242424,0.411111111111111,0.566666666666667,0.544444444444444,0.527777777777778,0.544444444444444
"25","PL_025",0.855769230769231,0.43444055944056,0.59527972027972,0.66520979020979,0.604020979020979,0.679195804195804
"26","PL_026",0.583613445378151,0.213750985027581,0.334318360914106,0.380811662726556,0.288219070133964,0.405240346729708
"27","PL_027",0.821296296296296,0.44656862745098,0.671296296296296,0.618518518518518,0.673148148148148,0.618518518518519
"28","PL_028",0.809001579224425,0.326618705035971,0.560971223021583,0.617625899280576,0.576438848920863,0.66205035971223
"29","PL_029",0.816326530612245,0.310734463276836,0.50415081286752,0.48625043237634,0.491352473192667,0.619768246281563
"30","PL_030",0.736185983827493,0.394878706199461,0.611859838274933,0.605121293800539,0.586927223719677,0.632749326145553
"31","PL_031",0.693877551020408,0.331410825199645,0.407738095238095,0.385841836734694,0.392644557823129,0.412840136054422
"32","PL_032",0.764069264069264,0.388888888888889,0.521645021645022,0.634199134199134,0.5,0.625541125541126
"33","PL_033",0.860859728506787,0.664027149321267,0.673076923076923,0.675339366515837,0.684389140271493,0.679864253393665
"34","PL_034",0.827223557692308,0.249699519230769,0.468599759615385,0.438701923076923,0.456430288461538,0.520432692307692
"35","PL_035",0.635394828791055,0.312106918238994,0.364517819706499,0.388626834381551,0.363469601677149,0.408542976939203
"36","PL_036",0.65,0.430555555555556,0.4625,0.466666666666667,0.458333333333333,0.475
"37","PL_037",0.82375,0.515277777777778,0.73,0.6525,0.6925,0.64
"38","PL_038",0.866071428571428,0.470238095238095,0.736607142857143,0.696428571428571,0.732142857142857,0.741071428571428
"39","PL_039",0.833910034602076,0.345444059976932,0.555940023068051,0.498269896193772,0.544982698961938,0.504613610149942
"40","PL_040",0.693263833199679,0.294019933554817,0.449478748997594,0.469269102990033,0.414867109634552,0.622694466720128
"41","PL_041",0.695048762190548,0.397840531561462,0.524916943521595,0.556478405315615,0.524086378737542,0.556589147286822
"42","PL_042",0.555555555555555,0.345238095238095,0.369047619047619,0.369047619047619,0.369047619047619,0.369047619047619
"43","PL_043",0.815548780487805,0.441369606003752,0.63719512195122,0.6113369467028,0.618563685636856,0.642953929539295
"44","PL_044",0.764808180325422,0.240078074170462,0.593671381871319,0.570107478728168,0.572682489923869,0.672115241080758
"45","PL_045",0.66289592760181,0.332417582417582,0.40625,0.40625,0.413461538461538,0.40625
"46","PL_046",0.916903409090909,0.657670454545455,0.731534090909091,0.752840909090909,0.744318181818182,0.764204545454546
"47","PL_047",0.883701188455008,0.309139784946237,0.628041878890775,0.653933220147142,0.63228636106395,0.714346349745331
"48","PL_048",0.859745762711865,0.33364991233197,0.632697740112994,0.659604519774011,0.645974576271186,0.688700564971751
"49","PL_049",0.877477477477477,0.321975308641975,0.715123456790123,0.677537537537538,0.686786786786787,0.775675675675676
"50","PL_050",0.741287284144427,0.397619047619048,0.563095238095238,0.511224489795918,0.483673469387755,0.591836734693878
"51","PL_051",0.821825396825397,0.311538461538461,0.606349206349206,0.701587301587302,0.584126984126984,0.700793650793651
"52","PL_052",0.788034188034188,0.412087912087912,0.62991452991453,0.652136752136752,0.614529914529914,0.676068376068376
"53","PL_053",0.745121280835567,0.250956632653061,0.525651927437642,0.459029066171923,0.508574263038549,0.505789184360613
"54","PL_054",0.749582568041409,0.256803887935963,0.503930817610063,0.513603436657682,0.487878787878788,0.583529874213837
"55","PL_055",0.7453125,0.292854140395124,0.554456654456654,0.579403110550652,0.562505254308533,0.637788986969315
"56","PL_056",0.812554568718952,0.26964752962906,0.570201631522241,0.554609819916885,0.561197475758042,0.588514225500527
"57","PL_057",0.80717649162544,0.201914959332853,0.539510064991379,0.521716238501122,0.52582686399817,0.557628499334406
