"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"64","SD_005",0.543439173145695,0.265567765567766,0.358681318681319,0.354578754578755,0.271758241758242,0.397435897435897
"65","SD_006",0.606301208904614,0.307843137254902,0.351450980392157,0.347058823529412,0.344392156862745,0.358823529411765
"66","SD_007",0.525835808501804,0.252834467120181,0.252834467120181,0.252834467120181,0.252834467120181,0.252834467120181
"67","SD_008",0.7939375,0.6875,0.686125,0.7125,0.71075,0.71875
"68","SD_009",0.800079365079365,0.416666666666667,0.53952380952381,0.503333333333333,0.54531746031746,0.638888888888889
"69","SD_010",0.731171428571429,0.492857142857143,0.498571428571429,0.527142857142857,0.512885714285714,0.531428571428572
"70","SD_011",0.712642857142857,0.528571428571428,0.592714285714286,0.542207792207792,0.562311688311688,0.542207792207792
"71","SD_012",0.710619001519103,0.391163793103448,0.41395474137931,0.432112068965517,0.431584051724138,0.433189655172414
"72","SD_013",0.751252715121136,0.483458646616541,0.562865497076023,0.675438596491228,0.588508771929824,0.646198830409357
"73","SD_014",0.814816176470588,0.522058823529412,0.550441176470588,0.541507352941177,0.544117647058824,0.540441176470588
"74","SD_015",0.915703703703704,0.744444444444444,0.860222222222222,0.863333333333333,0.860740740740741,0.855555555555556
"75","SD_016",0.936113387978142,0.631830601092896,0.68120218579235,0.683032786885246,0.681625683060109,0.687158469945355
"76","SD_017",0.71046875,0.640625,0.671875,0.6875,0.66390625,0.6875
"77","SD_018",0.60620673976008,0.341346153846154,0.564471153846154,0.480865384615385,0.459567307692308,0.536057692307692
"78","SD_019",0.678544603676447,0.318506493506494,0.34438474025974,0.360227272727273,0.353543831168831,0.384902597402597
"79","SD_020",0.734285638998682,0.315546772068511,0.345889328063241,0.360816864295125,0.348484848484848,0.372200263504611
"80","SD_021",0.790124883286648,0.425420168067227,0.457865312791783,0.468235294117647,0.456743697478992,0.473739495798319
"81","SD_022",0.728509025961888,0.351665166516652,0.37199822616408,0.38859866962306,0.38200177383592,0.428359201773836
"82","SD_023",0.573505952380952,0.3875,0.4,0.3875,0.3875,0.3875
"83","SD_024",0.648831168831169,0.512987012987013,0.554155844155844,0.535714285714286,0.511428571428571,0.535714285714286
"84","SD_025",0.605039682539683,0.472222222222222,0.569166666666667,0.555555555555556,0.515555555555556,0.555555555555556
"85","SD_026",0.420555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"86","SD_027",0.51130303030303,0.475,0.475,0.475,0.475,0.475
"87","SD_028",0.59925,0.442857142857143,0.442857142857143,0.442857142857143,0.442857142857143,0.442857142857143
"88","SD_029",0.5565,0.5,0.5,0.5,0.5,0.5
"89","SD_030",0.487833333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333
