"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_012.csv",84,29,7,7,7,7,7
"M_PL_013.csv",65,15,4,4,4,5,4
"M_PL_014.csv",108,40,6,5,5,6,5
"M_PL_015.csv",793,291,48,56,60,87,48
"M_PL_016.csv",205,79,9,9,10,17,9
"M_PL_017.csv",104,50,9,10,11,11,9
"M_PL_018.csv",144,50,18,19,23,24,18
"M_PL_019.csv",123,45,14,16,16,18,14
"M_PL_020.csv",109,44,3,3,3,3,3
"M_PL_021.csv",766,269,12,12,12,38,12
"M_PL_022.csv",66,16,4,4,4,4,4
"M_PL_023.csv",90,25,3,3,3,3,3
"M_PL_024.csv",22,8,4,4,3,3,3
"M_PL_025.csv",57,27,6,6,6,10,6
"M_PL_026.csv",150,54,2,2,2,2,2
"M_PL_027.csv",75,26,8,8,9,11,8
"M_PL_028.csv",180,52,13,14,16,24,13
"M_PL_029.csv",167,65,17,17,17,19,17
"M_PL_030.csv",70,23,9,6,7,13,6
"M_PL_031.csv",91,30,9,8,13,17,8
"M_PL_032.csv",40,9,2,2,2,2,2
"M_PL_033.csv",47,16,9,8,10,12,8
"M_PL_034.csv",151,71,6,8,8,9,6
"M_PL_035.csv",97,31,9,9,9,9,9
"M_PL_036.csv",22,9,2,2,2,2,2
"M_PL_037.csv",50,20,5,5,5,7,5
"M_PL_038.csv",50,17,4,4,4,7,4
"M_PL_039.csv",68,29,6,6,9,10,6
"M_PL_040.csv",70,25,9,7,9,10,7
"M_PL_041.csv",70,27,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,45,12,14,14,19,12
"M_PL_044.csv",712,236,21,23,25,49,21
"M_PL_045.csv",41,15,6,5,7,8,5
"M_PL_046.csv",60,28,11,13,13,14,11
"M_PL_047.csv",205,40,4,4,4,4,4
"M_PL_048.csv",266,113,10,10,9,12,9
"M_PL_049.csv",262,87,11,13,15,16,11
"M_PL_050.csv",49,19,6,7,7,7,6
"M_PL_051.csv",104,28,3,3,3,3,3
"M_PL_052.csv",52,20,6,6,6,7,6
"M_PL_053.csv",364,112,19,23,23,34,19
"M_PL_054.csv",414,116,23,25,27,30,23
"M_PL_055.csv",253,81,16,17,17,19,16
"M_PL_056.csv",456,163,22,29,33,43,22
"M_PL_057.csv",997,304,17,17,20,36,17
"M_PL_058.csv",111,42,14,17,19,20,14
"M_PL_059.csv",26,10,6,5,5,5,5
"M_SD_001.csv",28,13,3,3,3,5,3
"M_SD_002.csv",40,20,5,5,5,5,5
"M_SD_003.csv",41,17,4,4,4,4,4
"M_SD_004.csv",52,11,4,4,4,4,4
"M_SD_005.csv",34,11,3,3,3,3,3
"M_SD_006.csv",34,12,4,4,5,5,4
"M_SD_007.csv",79,32,3,3,3,3,3
"M_SD_008.csv",26,13,10,9,8,11,8
"M_SD_009.csv",25,10,3,4,4,5,3
"M_SD_010.csv",64,31,8,8,9,13,8
"M_SD_011.csv",25,7,6,5,5,6,5
"M_SD_012.csv",64,25,13,13,12,14,12
"M_SD_013.csv",55,25,11,8,19,14,8
"M_SD_014.csv",33,17,9,10,10,10,9
"M_SD_015.csv",32,16,4,4,4,4,4
"M_SD_016.csv",85,43,17,18,20,23,17
"M_SD_017.csv",24,12,8,7,10,10,7
"M_SD_018.csv",53,15,4,5,5,5,4
"M_SD_019.csv",209,95,13,17,20,21,13
"M_SD_020.csv",58,18,8,10,10,10,8
"M_SD_021.csv",46,16,9,10,10,10,9
"M_SD_022.csv",317,124,39,51,53,60,39
"M_SD_023.csv",23,10,4,4,4,4,4
"M_SD_024.csv",19,8,6,6,7,8,6
"M_SD_025.csv",13,7,4,4,4,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,8,3,3,3,3,3
"M_SD_028.csv",13,6,3,3,3,3,3
"M_SD_029.csv",9,4,2,2,2,2,2
"M_SD_030.csv",9,5,2,2,2,2,2
"M_PL_001.csv",177,62,21,22,22,23,21
"M_PL_002.csv",103,36,15,12,13,15,12
"M_PL_003.csv",61,15,5,5,6,6,5
"M_PL_004.csv",112,45,3,3,3,3,3
"M_PL_005.csv",361,124,25,30,36,42,25
"M_PL_006.csv",78,34,3,3,3,3,3
"M_PL_007.csv",50,21,5,4,4,4,4
"M_PL_008.csv",49,18,6,7,7,11,6
"M_PL_009.csv",142,43,7,8,8,12,7
"M_PL_010.csv",107,50,23,29,29,32,23
"M_PL_011.csv",27,13,4,6,6,6,4
"M_PL_012.csv",84,22,7,7,7,7,7
"M_PL_013.csv",65,25,4,4,4,5,4
"M_PL_014.csv",108,23,6,5,5,6,5
"M_PL_015.csv",793,286,48,56,60,87,48
"M_PL_016.csv",205,29,9,9,10,17,9
"M_PL_017.csv",104,47,9,10,11,11,9
"M_PL_018.csv",144,49,18,19,23,24,18
"M_PL_019.csv",123,37,14,15,16,18,14
"M_PL_020.csv",109,23,3,3,3,3,3
"M_PL_021.csv",766,175,12,12,12,38,12
"M_PL_022.csv",66,17,4,4,4,4,4
"M_PL_023.csv",90,37,3,3,3,3,3
"M_PL_024.csv",22,10,4,3,3,3,3
"M_PL_025.csv",57,17,6,6,6,10,6
"M_PL_026.csv",150,64,2,2,2,2,2
"M_PL_027.csv",75,22,9,8,9,11,8
"M_PL_028.csv",180,58,13,14,16,24,13
"M_PL_029.csv",167,46,17,17,17,19,17
"M_PL_030.csv",70,23,8,7,7,13,7
"M_PL_031.csv",91,31,9,7,13,17,7
"M_PL_032.csv",40,12,2,2,2,2,2
"M_PL_033.csv",47,19,8,8,10,12,8
"M_PL_034.csv",151,64,6,7,8,9,6
"M_PL_035.csv",97,33,9,9,9,9,9
"M_PL_036.csv",22,6,2,2,2,2,2
"M_PL_037.csv",50,17,5,5,5,7,5
"M_PL_038.csv",50,20,4,4,4,7,4
"M_PL_039.csv",68,30,6,7,9,10,6
"M_PL_040.csv",70,18,8,7,9,10,7
"M_PL_041.csv",70,28,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,44,12,14,14,19,12
"M_PL_044.csv",712,244,21,23,25,49,21
"M_PL_045.csv",41,13,6,5,7,8,5
"M_PL_046.csv",60,26,11,11,13,14,11
"M_PL_047.csv",205,85,4,4,4,4,4
"M_PL_048.csv",266,98,10,10,9,12,9
"M_PL_049.csv",262,97,11,13,15,16,11
"M_PL_050.csv",49,19,6,6,7,7,6
"M_PL_051.csv",104,34,3,3,3,3,3
"M_PL_052.csv",52,22,6,6,6,7,6
"M_PL_053.csv",364,73,19,22,23,34,19
"M_PL_054.csv",414,126,23,25,27,30,23
"M_PL_055.csv",253,85,16,17,17,19,16
"M_PL_056.csv",456,133,22,29,33,43,22
"M_PL_057.csv",997,339,17,17,20,36,17
"M_PL_058.csv",111,41,14,18,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,14,3,3,3,5,3
"M_SD_002.csv",40,20,5,5,5,5,5
"M_SD_003.csv",41,19,4,4,4,4,4
"M_SD_004.csv",52,18,4,4,4,4,4
"M_SD_005.csv",34,9,3,3,3,3,3
"M_SD_006.csv",34,11,4,4,5,5,4
"M_SD_007.csv",79,34,3,3,3,3,3
"M_SD_008.csv",26,13,10,8,8,11,8
"M_SD_009.csv",25,9,3,4,4,5,3
"M_SD_010.csv",64,31,8,8,9,13,8
"M_SD_011.csv",25,9,6,5,5,6,5
"M_SD_012.csv",64,25,12,12,12,14,12
"M_SD_013.csv",55,26,11,8,19,14,8
"M_SD_014.csv",33,17,9,10,10,10,9
"M_SD_015.csv",32,13,4,4,4,4,4
"M_SD_016.csv",85,37,17,18,20,23,17
"M_SD_017.csv",24,12,8,7,10,10,7
"M_SD_018.csv",53,14,4,5,5,5,4
"M_SD_019.csv",209,89,13,16,20,21,13
"M_SD_020.csv",58,25,8,9,10,10,8
"M_SD_021.csv",46,19,9,10,10,10,9
"M_SD_022.csv",317,124,39,51,53,60,39
"M_SD_023.csv",23,10,4,4,4,4,4
"M_SD_024.csv",19,9,6,6,7,8,6
"M_SD_025.csv",13,7,5,4,4,4,4
"M_SD_026.csv",6,3,2,2,2,2,2
"M_SD_027.csv",16,8,3,3,3,3,3
"M_SD_028.csv",13,7,3,3,3,3,3
"M_SD_029.csv",9,3,2,2,2,2,2
"M_SD_030.csv",9,2,2,2,2,2,2
"M_PL_001.csv",177,62,21,23,22,23,21
"M_PL_002.csv",103,37,13,13,13,15,13
"M_PL_003.csv",61,15,5,6,6,6,5
"M_PL_004.csv",112,35,3,3,3,3,3
"M_PL_005.csv",361,124,25,31,36,42,25
"M_PL_006.csv",78,13,3,3,3,3,3
"M_PL_007.csv",50,16,5,4,4,4,4
"M_PL_008.csv",49,22,6,7,7,11,6
"M_PL_009.csv",142,44,7,8,8,12,7
"M_PL_010.csv",107,50,23,29,29,32,23
"M_PL_011.csv",27,11,4,4,6,6,4
"M_PL_012.csv",84,28,7,7,7,7,7
"M_PL_013.csv",65,29,4,4,4,5,4
"M_PL_014.csv",108,41,6,5,5,6,5
"M_PL_015.csv",793,321,48,56,60,87,48
"M_PL_016.csv",205,90,9,9,10,17,9
"M_PL_017.csv",104,44,9,11,11,11,9
"M_PL_018.csv",144,55,18,19,23,24,18
"M_PL_019.csv",123,47,14,15,16,18,14
"M_PL_020.csv",109,38,3,3,3,3,3
"M_PL_021.csv",766,264,12,12,12,38,12
"M_PL_022.csv",66,19,4,4,4,4,4
"M_PL_023.csv",90,20,3,3,3,3,3
"M_PL_024.csv",22,7,4,3,3,3,3
"M_PL_025.csv",57,26,6,6,6,10,6
"M_PL_026.csv",150,47,2,2,2,2,2
"M_PL_027.csv",75,23,9,8,9,11,8
"M_PL_028.csv",180,59,13,14,16,24,13
"M_PL_029.csv",167,68,17,16,17,19,16
"M_PL_030.csv",70,18,10,7,7,13,7
"M_PL_031.csv",91,28,9,8,13,17,8
"M_PL_032.csv",40,19,2,2,2,2,2
"M_PL_033.csv",47,16,9,8,10,12,8
"M_PL_034.csv",151,65,6,7,8,9,6
"M_PL_035.csv",97,41,9,9,9,9,9
"M_PL_036.csv",22,9,4,2,2,2,2
"M_PL_037.csv",50,12,5,5,5,7,5
"M_PL_038.csv",50,20,4,4,4,7,4
"M_PL_039.csv",68,28,6,7,9,10,6
"M_PL_040.csv",70,23,9,7,9,10,7
"M_PL_041.csv",70,24,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,43,12,14,14,19,12
"M_PL_044.csv",712,193,21,23,25,49,21
"M_PL_045.csv",41,15,6,5,7,8,5
"M_PL_046.csv",60,25,11,11,13,14,11
"M_PL_047.csv",205,76,4,4,4,4,4
"M_PL_048.csv",266,83,10,10,9,12,9
"M_PL_049.csv",262,88,11,13,15,16,11
"M_PL_050.csv",49,17,6,7,7,7,6
"M_PL_051.csv",104,44,3,3,3,3,3
"M_PL_052.csv",52,23,6,6,6,7,6
"M_PL_053.csv",364,117,19,23,23,34,19
"M_PL_054.csv",414,136,23,26,27,30,23
"M_PL_055.csv",253,76,16,17,17,19,16
"M_PL_056.csv",456,142,22,29,33,43,22
"M_PL_057.csv",997,274,17,17,20,36,17
"M_PL_058.csv",111,39,14,17,19,20,14
"M_PL_059.csv",26,11,6,5,5,5,5
"M_SD_001.csv",28,13,3,3,3,5,3
"M_SD_002.csv",40,20,5,5,5,5,5
"M_SD_003.csv",41,14,4,4,4,4,4
"M_SD_004.csv",52,21,4,4,4,4,4
"M_SD_005.csv",34,6,3,3,3,3,3
"M_SD_006.csv",34,9,4,5,5,5,4
"M_SD_007.csv",79,19,3,3,3,3,3
"M_SD_008.csv",26,12,10,9,8,11,8
"M_SD_009.csv",25,6,3,4,4,5,3
"M_SD_010.csv",64,31,8,8,9,13,8
"M_SD_011.csv",25,8,6,5,5,6,5
"M_SD_012.csv",64,20,13,12,12,14,12
"M_SD_013.csv",55,22,11,8,19,14,8
"M_SD_014.csv",33,14,9,10,10,10,9
"M_SD_015.csv",32,13,4,4,4,4,4
"M_SD_016.csv",85,35,17,18,20,23,17
"M_SD_017.csv",24,11,6,6,10,10,6
"M_SD_018.csv",53,13,4,5,5,5,4
"M_SD_019.csv",209,93,13,16,20,21,13
